player_name,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit
Labaron Philon,Alabama,76,177,Guard,16,4.4,3.4,1.3,0.3,27.6,2.1,1.6,0.482,0.367,0.788,0.557,0.561,8.2,0.17,6.3,1.9,0.597,13.7,0.36,0.409,2,0,32,1,0
Amari Allen,Alabama,79,205,Forward,11.4,3.1,6.9,1,0.7,28.2,1.4,3,0.446,0.341,0.738,0.533,0.556,3.4,0.149,2.2,1.1,0.57,12.1,0.38,0.509,1,1,69,1,0
Brayden Burries,Arizona,76,205,Guard,16.1,2.5,4.9,1.5,0.2,29.6,1.5,2,0.5,0.402,0.806,0.583,0.568,6.4,0.226,3.7,2.7,0.625,10.2,0.4,0.41,1,1,9,1,1
Motiejus Krivas,Arizona,86,260,Center,8,0.8,6.1,0.5,1.2,18.7,1,2.2,0.563,0.308,0.77,0.568,0.571,8.5,0.219,4.7,3.8,0.624,13.7,0.641,0.032,3,0,-,0,0
Koa Peat,Arizona,80,235,Forward,14.1,2.6,5.6,0.6,0.7,27.8,1.6,2.2,0.528,0.35,0.623,0.537,0.538,4.6,0.184,2.6,2,0.557,11.3,0.427,0.053,1,1,8,1,1
Jaden Bradley,Arizona,75,185,Guard,9.7,3.3,2.9,1.2,0.1,26.3,1.6,2,0.452,0.366,0.789,0.485,0.471,14.3,0.146,7.4,6.9,0.549,15.4,0.476,0.18,4,0,24,1,0
Darius Acuff Jr.,Arkansas,75,190,Guard,23.5,6.4,3.1,0.8,0.3,35.1,2.2,1.6,0.484,0.44,0.809,0.561,0.508,6.2,0.196,5.5,0.7,0.604,10,0.37,0.348,1,1,10,1,1
Meleek Thomas,Arkansas,77,185,Guard,15.6,2.5,3.8,1.5,0.2,30.5,1,2.1,0.435,0.416,0.843,0.522,0.448,4,0.143,3,1.1,0.559,6.7,0.231,0.422,1,1,12,1,0
Trevon Brazile,Arkansas,81,215,Forward,9.2,0.9,6,0.9,1.4,25.3,1.2,2,0.528,0.351,0.662,0.598,0.645,11.2,0.136,6.1,5,0.613,14.2,0.376,0.397,5,0,-,0,0
Keyshawn Hall,Auburn,79,250,Guard,16.4,1.9,6.4,0.6,0.4,29.3,2.4,2.2,0.451,0.371,0.833,0.512,0.49,12.6,0.149,9,3.6,0.583,14.5,0.513,0.33,4,0,-,0,0
Tounde Yessoufou,Baylor,77,215,Guard,17.8,1.6,5.9,2,0.6,32.6,1.9,2.3,0.465,0.293,0.746,0.52,0.567,4.1,0.148,2.7,1.4,0.55,10.4,0.276,0.372,1,1,11,1,0
Cameron Carr,Baylor,77,175,Guard,13.2,1.9,4.1,0.6,0.9,24,1.7,1.5,0.485,0.367,0.798,0.574,0.597,5.1,0.162,3.5,1.5,0.615,13.4,0.377,0.485,3,0,55,1,0
AJ Dybantsa,BYU,81,210,Forward,25.5,3.7,6.8,1.1,0.3,34.8,3.1,1.2,0.51,0.331,0.774,0.55,0.568,6.4,0.209,4.8,1.6,0.6,12.7,0.49,0.245,1,1,1,1,1
Richie Saunders,BYU,77,200,Guard,12.1,1.4,4.1,1,0.3,23.9,1,2.1,0.502,0.387,0.788,0.597,0.612,14.8,0.193,10.2,4.6,0.625,9.3,0.297,0.49,4,0,-,0,0
Baba Miller,Cincinnati,83,204,Forward,9.8,2.3,6.8,0.8,1.2,27.3,1.8,2.5,0.49,0.29,0.619,0.538,0.59,9.5,0.123,4.1,5.4,0.557,17.1,0.404,0.332,4,0,-,0,0
Cameron Boozer,Duke,81,250,Forward,22.5,4.1,10.2,1.4,0.6,33.4,2.5,1.7,0.556,0.391,0.789,0.607,0.615,10.4,0.327,6.9,3.5,0.653,12.8,0.536,0.264,1,1,3,1,1
Patrick Ngongba,Duke,83,250,Center,7.1,1.4,4.3,0.5,0.8,16.4,0.8,2.3,0.635,0.25,0.677,0.651,0.691,6.5,0.257,3.9,2.7,0.665,12.9,0.651,0.127,2,0,24,1,0
Isaiah Evans,Duke,78,175,Guard,11,0.9,2.2,0.5,0.4,21.2,0.8,1.1,0.432,0.38,0.849,0.565,0.554,7.5,0.192,4.4,3.1,0.599,8,0.238,0.7,2,0,16,1,1
Thomas Haugh,Florida,81,210,Forward,10.1,1.7,5.3,0.7,0.8,24,1,2.2,0.466,0.32,0.745,0.536,0.578,12.8,0.194,8.1,4.7,0.585,10.2,0.527,0.432,3,0,-,0,0
Rueben Chinyelu,Florida,83,245,Center,7.1,0.5,7.5,0.5,1,19.1,1.2,2.7,0.596,0,0.623,0.596,0.598,9.8,0.186,4.6,5.2,0.605,16.4,0.404,0.004,3,0,-,0,0
Kingston Flemings,Houston,76,190,Guard,16.1,5.2,4.1,1.5,0.3,31.7,1.8,2,0.476,0.387,0.845,0.52,0.503,6.6,0.225,3.8,2.8,0.563,11.1,0.277,0.227,1,1,15,1,0
Chris Cenac Jr.,Houston,83,240,Center,9.5,0.7,7.9,0.8,0.5,24.8,0.9,2.3,0.485,0.333,0.621,0.536,0.551,4.3,0.189,1.8,2.6,0.546,9.3,0.197,0.305,1,1,6,1,1
Keaton Wagler,Illinois,78,185,Guard,17.9,4.3,5,0.9,0.4,33.8,1.8,1.9,0.445,0.407,0.796,0.542,0.48,7.1,0.234,5.4,1.7,0.597,10.5,0.482,0.477,1,1,-,0,0
Andrej Stojakovic,Illinois,79,190,Guard,12.9,1.2,4.2,0.5,0.6,27.1,1.5,1.3,0.448,0.302,0.781,0.496,0.517,7.2,0.111,4.5,2.7,0.541,11.4,0.335,0.321,3,0,23,1,0
Kylan Boswell,Illinois,74,195,Guard,9.6,2.9,3.1,1,0.1,25.6,1.4,1.6,0.425,0.327,0.787,0.504,0.517,12.3,0.141,7,5.3,0.544,14.1,0.3,0.484,4,0,-,0,0
Tucker DeVries,Indiana,81,210,Guard,16.8,2.7,5.5,1.2,0.5,33.1,1.7,2.2,0.428,0.359,0.82,0.522,0.505,20.9,0.175,12.2,8.7,0.563,10.4,0.287,0.527,5,0,-,0,0
Bennett Stirtz,Iowa,76,180,Guard,19.5,5,3.4,1.7,0.3,38.5,1.9,1.7,0.487,0.372,0.82,0.565,0.57,15.6,0.225,10.9,4.7,0.608,10.6,0.347,0.422,2,0,-,0,0
Joshua Jefferson,Iowa St.,80,220,Forward,10.5,2.7,5.7,1.4,0.5,23.4,1.8,1.9,0.483,0.315,0.722,0.524,0.542,15.7,0.206,7.4,8.2,0.566,15.9,0.258,0.451,4,0,-,0,0
Darryn Peterson,Kansas,77,205,Guard,20.2,1.6,4.2,1.4,0.6,29,1.6,1.5,0.428,0.382,0.826,0.527,0.487,3.5,0.198,2,1.4,0.578,8.3,0.371,0.463,1,1,2,1,1
Mikel Brown Jr.,Louisville,77,190,Guard,18.2,4.7,3.3,1.2,0.1,29.2,3.1,1.6,0.41,0.344,0.844,0.511,0.504,2.6,0.172,1.6,1,0.577,16.4,0.447,0.586,1,1,7,1,1
Yaxel Lendeborg,Michigan,81,230,Forward,15.6,3.2,9.6,1.2,1.7,31.4,1.7,2.3,0.519,0.363,0.789,0.564,0.57,19.8,0.23,13.1,6.7,0.614,12,0.49,0.245,3,0,-,0,0
Caleb Wilson,North Carolina,82,215,Forward,19.8,2.7,9.4,1.5,1.4,31.3,2,1.9,0.578,0.259,0.713,0.59,0.61,4.8,0.254,3,1.7,0.626,11,0.616,0.092,1,1,5,1,1
Nate Ament,Tennessee,82,207,Forward,16.7,2.3,6.3,1,0.6,29.7,2.3,2,0.399,0.333,0.79,0.452,0.43,4.6,0.179,2.8,1.9,0.534,12.6,0.578,0.322,1,1,4,1,1
Braylon Mullins,UConn,78,196,Guard,11.9,1.5,3.4,1,0.6,27.9,1.3,2.8,0.434,0.328,0.886,0.536,0.61,3,0.14,1.3,1.7,0.556,10.5,0.111,0.627,1,1,14,1,0
Hannes Steinbach,Washington,83,220,Forward,18.5,1.6,11.8,1.1,1.2,34.6,2,2.4,0.577,0.34,0.759,0.602,0.618,5.6,0.215,3.8,1.8,0.636,11.9,0.436,0.146,1,1,-,0,0
Jayden Quaintance,Kentucky,81,225,Forward,8.8,1.4,7.5,1,2.4,27.7,1.9,2.4,0.529,0.188,0.452,0.545,0.597,2,0.102,0.7,1.3,0.533,18.4,0.44,0.168,2,0,8,1,1
Christian Anderson,Texas Tech,84,165,Guard,14.5,4.7,3.3,1.3,0.2,34.4,2.1,2.1,0.455,0.4,0.804,0.582,0.55,9.6,0.165,6.6,3,0.613,15.3,0.281,0.632,2,0,-,0,0
Allen Graves,Santa Clara,81,220,Forward,11.8,1.8,6.5,1.9,0.9,22.6,0.7,3.1,0.512,0.413,0.75,0.58,0.56,5.3,0.266,3.4,1.8,0.613,6.9,0.396,0.325,1,1,-,0,0
Aday Mara,Michigan,87,240,Center,7.8,1.4,4.5,0.2,1.7,16.2,1.2,1.6,0.61,0.3,0.585,0.613,0.616,8.1,0.199,4.1,4,0.614,16.3,0.454,0.019,3,0,-,0,0